"galaxy","attempted_status","partial_branch_status","partial_failure_stage","partial_failure_reason","partial_N_valid_points","spectral_branch_status","spectral_failure_reason","spectral_N_valid_points","final_chain_label"
"CamB","ATTEMPTED","COMPLETED","","","9","EXCLUDED","fewer than 16 radial points after reconstruction","9.0","134_TO_76_EXCLUDED"
"D512-2","ATTEMPTED","EXCLUDED","FAIL_RECONSTRUCTION","insufficient valid radii before reconstruction","4","NOT_REACHED","","","175_TO_134_EXCLUDED"
"D564-8","ATTEMPTED","EXCLUDED","FAIL_RECONSTRUCTION","insufficient valid radii before reconstruction","6","NOT_REACHED","","","175_TO_134_EXCLUDED"
"D631-7","ATTEMPTED","COMPLETED","","","16","VALID","","16.0","SPECTRAL_VALID_76"
"DDO064","ATTEMPTED","COMPLETED","","","14","EXCLUDED","fewer than 16 radial points after reconstruction","14.0","134_TO_76_EXCLUDED"
"DDO154","ATTEMPTED","COMPLETED","","","12","EXCLUDED","fewer than 16 radial points after reconstruction","12.0","134_TO_76_EXCLUDED"
"DDO161","ATTEMPTED","COMPLETED","","","31","VALID","","31.0","SPECTRAL_VALID_76"
"DDO168","ATTEMPTED","COMPLETED","","","10","EXCLUDED","fewer than 16 radial points after reconstruction","10.0","134_TO_76_EXCLUDED"
"DDO170","ATTEMPTED","EXCLUDED","FAIL_PARTIAL_CORRELATION","partial Spearman returned non-finite value","8","NOT_REACHED","","","175_TO_134_EXCLUDED"
"ESO079-G014","ATTEMPTED","COMPLETED","","","15","EXCLUDED","fewer than 16 radial points after reconstruction","15.0","134_TO_76_EXCLUDED"
"ESO116-G012","ATTEMPTED","COMPLETED","","","15","EXCLUDED","fewer than 16 radial points after reconstruction","15.0","134_TO_76_EXCLUDED"
"ESO444-G084","ATTEMPTED","EXCLUDED","FAIL_RECONSTRUCTION","insufficient valid radii before reconstruction","7","NOT_REACHED","","","175_TO_134_EXCLUDED"
"ESO563-G021","ATTEMPTED","COMPLETED","","","30","VALID","","30.0","SPECTRAL_VALID_76"
"F561-1","ATTEMPTED","EXCLUDED","FAIL_RECONSTRUCTION","insufficient valid radii before reconstruction","6","NOT_REACHED","","","175_TO_134_EXCLUDED"
"F563-1","ATTEMPTED","COMPLETED","","","17","VALID","","17.0","SPECTRAL_VALID_76"
"F563-V1","ATTEMPTED","EXCLUDED","FAIL_RECONSTRUCTION","insufficient valid radii before reconstruction","6","NOT_REACHED","","","175_TO_134_EXCLUDED"
"F563-V2","ATTEMPTED","COMPLETED","","","10","EXCLUDED","fewer than 16 radial points after reconstruction","10.0","134_TO_76_EXCLUDED"
"F565-V2","ATTEMPTED","EXCLUDED","FAIL_RECONSTRUCTION","insufficient valid radii before reconstruction","7","NOT_REACHED","","","175_TO_134_EXCLUDED"
"F567-2","ATTEMPTED","EXCLUDED","FAIL_RECONSTRUCTION","insufficient valid radii before reconstruction","5","NOT_REACHED","","","175_TO_134_EXCLUDED"
"F568-1","ATTEMPTED","COMPLETED","","","12","EXCLUDED","fewer than 16 radial points after reconstruction","12.0","134_TO_76_EXCLUDED"
"F568-3","ATTEMPTED","COMPLETED","","","18","VALID","","18.0","SPECTRAL_VALID_76"
"F568-V1","ATTEMPTED","COMPLETED","","","15","EXCLUDED","fewer than 16 radial points after reconstruction","15.0","134_TO_76_EXCLUDED"
"F571-8","ATTEMPTED","COMPLETED","","","13","EXCLUDED","fewer than 16 radial points after reconstruction","13.0","134_TO_76_EXCLUDED"
"F571-V1","ATTEMPTED","EXCLUDED","FAIL_RECONSTRUCTION","insufficient valid radii before reconstruction","7","NOT_REACHED","","","175_TO_134_EXCLUDED"
"F574-1","ATTEMPTED","COMPLETED","","","14","EXCLUDED","fewer than 16 radial points after reconstruction","14.0","134_TO_76_EXCLUDED"
"F574-2","ATTEMPTED","EXCLUDED","FAIL_RECONSTRUCTION","insufficient valid radii before reconstruction","5","NOT_REACHED","","","175_TO_134_EXCLUDED"
"F579-V1","ATTEMPTED","COMPLETED","","","14","EXCLUDED","fewer than 16 radial points after reconstruction","14.0","134_TO_76_EXCLUDED"
"F583-1","ATTEMPTED","COMPLETED","","","25","VALID","","25.0","SPECTRAL_VALID_76"
"F583-4","ATTEMPTED","COMPLETED","","","12","EXCLUDED","fewer than 16 radial points after reconstruction","12.0","134_TO_76_EXCLUDED"
"IC2574","ATTEMPTED","COMPLETED","","","34","VALID","","34.0","SPECTRAL_VALID_76"
"IC4202","ATTEMPTED","COMPLETED","","","32","VALID","","32.0","SPECTRAL_VALID_76"
"KK98-251","ATTEMPTED","COMPLETED","","","15","EXCLUDED","fewer than 16 radial points after reconstruction","15.0","134_TO_76_EXCLUDED"
"NGC0024","ATTEMPTED","COMPLETED","","","29","VALID","","29.0","SPECTRAL_VALID_76"
"NGC0055","ATTEMPTED","COMPLETED","","","21","VALID","","21.0","SPECTRAL_VALID_76"
"NGC0100","ATTEMPTED","COMPLETED","","","21","VALID","","21.0","SPECTRAL_VALID_76"
"NGC0247","ATTEMPTED","COMPLETED","","","26","VALID","","26.0","SPECTRAL_VALID_76"
"NGC0289","ATTEMPTED","COMPLETED","","","28","VALID","","28.0","SPECTRAL_VALID_76"
"NGC0300","ATTEMPTED","COMPLETED","","","25","VALID","","25.0","SPECTRAL_VALID_76"
"NGC0801","ATTEMPTED","COMPLETED","","","13","EXCLUDED","fewer than 16 radial points after reconstruction","13.0","134_TO_76_EXCLUDED"
"NGC0891","ATTEMPTED","COMPLETED","","","18","VALID","","18.0","SPECTRAL_VALID_76"
"NGC1003","ATTEMPTED","COMPLETED","","","36","VALID","","36.0","SPECTRAL_VALID_76"
"NGC1090","ATTEMPTED","COMPLETED","","","24","VALID","","24.0","SPECTRAL_VALID_76"
"NGC1705","ATTEMPTED","COMPLETED","","","14","EXCLUDED","fewer than 16 radial points after reconstruction","14.0","134_TO_76_EXCLUDED"
"NGC2366","ATTEMPTED","COMPLETED","","","26","VALID","","26.0","SPECTRAL_VALID_76"
"NGC2403","ATTEMPTED","COMPLETED","","","73","VALID","","73.0","SPECTRAL_VALID_76"
"NGC2683","ATTEMPTED","COMPLETED","","","11","EXCLUDED","fewer than 16 radial points after reconstruction","11.0","134_TO_76_EXCLUDED"
"NGC2841","ATTEMPTED","COMPLETED","","","50","VALID","","50.0","SPECTRAL_VALID_76"
"NGC2903","ATTEMPTED","COMPLETED","","","34","VALID","","34.0","SPECTRAL_VALID_76"
"NGC2915","ATTEMPTED","COMPLETED","","","30","VALID","","30.0","SPECTRAL_VALID_76"
"NGC2955","ATTEMPTED","COMPLETED","","","24","VALID","","24.0","SPECTRAL_VALID_76"
"NGC2976","ATTEMPTED","COMPLETED","","","27","VALID","","27.0","SPECTRAL_VALID_76"
"NGC2998","ATTEMPTED","COMPLETED","","","13","EXCLUDED","fewer than 16 radial points after reconstruction","13.0","134_TO_76_EXCLUDED"
"NGC3109","ATTEMPTED","COMPLETED","","","25","VALID","","25.0","SPECTRAL_VALID_76"
"NGC3198","ATTEMPTED","COMPLETED","","","43","VALID","","43.0","SPECTRAL_VALID_76"
"NGC3521","ATTEMPTED","COMPLETED","","","41","VALID","","41.0","SPECTRAL_VALID_76"
"NGC3726","ATTEMPTED","COMPLETED","","","12","EXCLUDED","fewer than 16 radial points after reconstruction","12.0","134_TO_76_EXCLUDED"
"NGC3741","ATTEMPTED","COMPLETED","","","21","VALID","","21.0","SPECTRAL_VALID_76"
"NGC3769","ATTEMPTED","COMPLETED","","","12","EXCLUDED","fewer than 16 radial points after reconstruction","12.0","134_TO_76_EXCLUDED"
"NGC3877","ATTEMPTED","COMPLETED","","","13","EXCLUDED","fewer than 16 radial points after reconstruction","13.0","134_TO_76_EXCLUDED"
"NGC3893","ATTEMPTED","COMPLETED","","","10","EXCLUDED","fewer than 16 radial points after reconstruction","10.0","134_TO_76_EXCLUDED"
"NGC3917","ATTEMPTED","COMPLETED","","","17","VALID","","17.0","SPECTRAL_VALID_76"
"NGC3949","ATTEMPTED","EXCLUDED","FAIL_RECONSTRUCTION","insufficient valid radii before reconstruction","7","NOT_REACHED","","","175_TO_134_EXCLUDED"
"NGC3953","ATTEMPTED","COMPLETED","","","8","EXCLUDED","fewer than 16 radial points after reconstruction","8.0","134_TO_76_EXCLUDED"
"NGC3972","ATTEMPTED","EXCLUDED","FAIL_PARTIAL_CORRELATION","partial Spearman returned non-finite value","10","NOT_REACHED","","","175_TO_134_EXCLUDED"
"NGC3992","ATTEMPTED","COMPLETED","","","9","EXCLUDED","fewer than 16 radial points after reconstruction","9.0","134_TO_76_EXCLUDED"
"NGC4010","ATTEMPTED","COMPLETED","","","12","EXCLUDED","fewer than 16 radial points after reconstruction","12.0","134_TO_76_EXCLUDED"
"NGC4013","ATTEMPTED","COMPLETED","","","36","VALID","","36.0","SPECTRAL_VALID_76"
"NGC4051","ATTEMPTED","EXCLUDED","FAIL_RECONSTRUCTION","insufficient valid radii before reconstruction","7","NOT_REACHED","","","175_TO_134_EXCLUDED"
"NGC4068","ATTEMPTED","EXCLUDED","FAIL_RECONSTRUCTION","insufficient valid radii before reconstruction","6","NOT_REACHED","","","175_TO_134_EXCLUDED"
"NGC4085","ATTEMPTED","EXCLUDED","FAIL_RECONSTRUCTION","insufficient valid radii before reconstruction","7","NOT_REACHED","","","175_TO_134_EXCLUDED"
"NGC4088","ATTEMPTED","COMPLETED","","","12","EXCLUDED","fewer than 16 radial points after reconstruction","12.0","134_TO_76_EXCLUDED"
"NGC4100","ATTEMPTED","COMPLETED","","","24","VALID","","24.0","SPECTRAL_VALID_76"
"NGC4138","ATTEMPTED","EXCLUDED","FAIL_RECONSTRUCTION","insufficient valid radii before reconstruction","7","NOT_REACHED","","","175_TO_134_EXCLUDED"
"NGC4157","ATTEMPTED","COMPLETED","","","17","VALID","","17.0","SPECTRAL_VALID_76"
"NGC4183","ATTEMPTED","COMPLETED","","","23","VALID","","23.0","SPECTRAL_VALID_76"
"NGC4214","ATTEMPTED","COMPLETED","","","14","EXCLUDED","fewer than 16 radial points after reconstruction","14.0","134_TO_76_EXCLUDED"
"NGC4217","ATTEMPTED","COMPLETED","","","19","VALID","","19.0","SPECTRAL_VALID_76"
"NGC4389","ATTEMPTED","EXCLUDED","FAIL_RECONSTRUCTION","insufficient valid radii before reconstruction","6","NOT_REACHED","","","175_TO_134_EXCLUDED"
"NGC4559","ATTEMPTED","COMPLETED","","","32","VALID","","32.0","SPECTRAL_VALID_76"
"NGC5005","ATTEMPTED","EXCLUDED","FAIL_PARTIAL_CORRELATION","partial Spearman returned non-finite value","18","NOT_REACHED","","","175_TO_134_EXCLUDED"
"NGC5033","ATTEMPTED","COMPLETED","","","22","VALID","","22.0","SPECTRAL_VALID_76"
"NGC5055","ATTEMPTED","COMPLETED","","","28","VALID","","28.0","SPECTRAL_VALID_76"
"NGC5371","ATTEMPTED","COMPLETED","","","19","VALID","","19.0","SPECTRAL_VALID_76"
"NGC5585","ATTEMPTED","COMPLETED","","","24","VALID","","24.0","SPECTRAL_VALID_76"
"NGC5907","ATTEMPTED","COMPLETED","","","19","VALID","","19.0","SPECTRAL_VALID_76"
"NGC5985","ATTEMPTED","COMPLETED","","","33","VALID","","33.0","SPECTRAL_VALID_76"
"NGC6015","ATTEMPTED","COMPLETED","","","44","VALID","","44.0","SPECTRAL_VALID_76"
"NGC6195","ATTEMPTED","COMPLETED","","","23","VALID","","23.0","SPECTRAL_VALID_76"
"NGC6503","ATTEMPTED","COMPLETED","","","31","VALID","","31.0","SPECTRAL_VALID_76"
"NGC6674","ATTEMPTED","COMPLETED","","","15","EXCLUDED","fewer than 16 radial points after reconstruction","15.0","134_TO_76_EXCLUDED"
"NGC6789","ATTEMPTED","EXCLUDED","FAIL_RECONSTRUCTION","insufficient valid radii before reconstruction","4","NOT_REACHED","","","175_TO_134_EXCLUDED"
"NGC6946","ATTEMPTED","COMPLETED","","","58","VALID","","58.0","SPECTRAL_VALID_76"
"NGC7331","ATTEMPTED","COMPLETED","","","36","VALID","","36.0","SPECTRAL_VALID_76"
"NGC7793","ATTEMPTED","COMPLETED","","","46","VALID","","46.0","SPECTRAL_VALID_76"
"NGC7814","ATTEMPTED","COMPLETED","","","18","VALID","","18.0","SPECTRAL_VALID_76"
"PGC51017","ATTEMPTED","EXCLUDED","FAIL_RECONSTRUCTION","insufficient valid radii before reconstruction","6","NOT_REACHED","","","175_TO_134_EXCLUDED"
"UGC00128","ATTEMPTED","COMPLETED","","","22","VALID","","22.0","SPECTRAL_VALID_76"
"UGC00191","ATTEMPTED","COMPLETED","","","9","EXCLUDED","fewer than 16 radial points after reconstruction","9.0","134_TO_76_EXCLUDED"
"UGC00634","ATTEMPTED","EXCLUDED","FAIL_RECONSTRUCTION","insufficient valid radii before reconstruction","4","NOT_REACHED","","","175_TO_134_EXCLUDED"
"UGC00731","ATTEMPTED","COMPLETED","","","12","EXCLUDED","fewer than 16 radial points after reconstruction","12.0","134_TO_76_EXCLUDED"
"UGC00891","ATTEMPTED","EXCLUDED","FAIL_RECONSTRUCTION","insufficient valid radii before reconstruction","5","NOT_REACHED","","","175_TO_134_EXCLUDED"
"UGC01230","ATTEMPTED","COMPLETED","","","11","EXCLUDED","fewer than 16 radial points after reconstruction","11.0","134_TO_76_EXCLUDED"
"UGC01281","ATTEMPTED","COMPLETED","","","25","VALID","","25.0","SPECTRAL_VALID_76"
"UGC02023","ATTEMPTED","EXCLUDED","FAIL_RECONSTRUCTION","insufficient valid radii before reconstruction","5","NOT_REACHED","","","175_TO_134_EXCLUDED"
"UGC02259","ATTEMPTED","COMPLETED","","","8","EXCLUDED","fewer than 16 radial points after reconstruction","8.0","134_TO_76_EXCLUDED"
"UGC02455","ATTEMPTED","COMPLETED","","","8","EXCLUDED","fewer than 16 radial points after reconstruction","8.0","134_TO_76_EXCLUDED"
"UGC02487","ATTEMPTED","COMPLETED","","","17","VALID","","17.0","SPECTRAL_VALID_76"
"UGC02885","ATTEMPTED","COMPLETED","","","19","VALID","","19.0","SPECTRAL_VALID_76"
"UGC02916","ATTEMPTED","COMPLETED","","","43","VALID","","43.0","SPECTRAL_VALID_76"
"UGC02953","ATTEMPTED","COMPLETED","","","115","VALID","","115.0","SPECTRAL_VALID_76"
"UGC03205","ATTEMPTED","COMPLETED","","","48","VALID","","48.0","SPECTRAL_VALID_76"
"UGC03546","ATTEMPTED","COMPLETED","","","30","VALID","","30.0","SPECTRAL_VALID_76"
"UGC03580","ATTEMPTED","COMPLETED","","","47","VALID","","47.0","SPECTRAL_VALID_76"
"UGC04278","ATTEMPTED","COMPLETED","","","25","VALID","","25.0","SPECTRAL_VALID_76"
"UGC04305","ATTEMPTED","COMPLETED","","","22","VALID","","22.0","SPECTRAL_VALID_76"
"UGC04325","ATTEMPTED","COMPLETED","","","8","EXCLUDED","fewer than 16 radial points after reconstruction","8.0","134_TO_76_EXCLUDED"
"UGC04483","ATTEMPTED","COMPLETED","","","8","EXCLUDED","fewer than 16 radial points after reconstruction","8.0","134_TO_76_EXCLUDED"
"UGC04499","ATTEMPTED","EXCLUDED","FAIL_PARTIAL_CORRELATION","partial Spearman returned non-finite value","9","NOT_REACHED","","","175_TO_134_EXCLUDED"
"UGC05005","ATTEMPTED","EXCLUDED","FAIL_PARTIAL_CORRELATION","partial Spearman returned non-finite value","11","NOT_REACHED","","","175_TO_134_EXCLUDED"
"UGC05253","ATTEMPTED","COMPLETED","","","73","VALID","","73.0","SPECTRAL_VALID_76"
"UGC05414","ATTEMPTED","EXCLUDED","FAIL_RECONSTRUCTION","insufficient valid radii before reconstruction","6","NOT_REACHED","","","175_TO_134_EXCLUDED"
"UGC05716","ATTEMPTED","COMPLETED","","","12","EXCLUDED","fewer than 16 radial points after reconstruction","12.0","134_TO_76_EXCLUDED"
"UGC05721","ATTEMPTED","COMPLETED","","","23","VALID","","23.0","SPECTRAL_VALID_76"
"UGC05750","ATTEMPTED","COMPLETED","","","11","EXCLUDED","fewer than 16 radial points after reconstruction","11.0","134_TO_76_EXCLUDED"
"UGC05764","ATTEMPTED","COMPLETED","","","10","EXCLUDED","fewer than 16 radial points after reconstruction","10.0","134_TO_76_EXCLUDED"
"UGC05829","ATTEMPTED","COMPLETED","","","11","EXCLUDED","fewer than 16 radial points after reconstruction","11.0","134_TO_76_EXCLUDED"
"UGC05918","ATTEMPTED","COMPLETED","","","8","EXCLUDED","fewer than 16 radial points after reconstruction","8.0","134_TO_76_EXCLUDED"
"UGC05986","ATTEMPTED","COMPLETED","","","15","EXCLUDED","fewer than 16 radial points after reconstruction","15.0","134_TO_76_EXCLUDED"
"UGC05999","ATTEMPTED","EXCLUDED","FAIL_RECONSTRUCTION","insufficient valid radii before reconstruction","5","NOT_REACHED","","","175_TO_134_EXCLUDED"
"UGC06399","ATTEMPTED","EXCLUDED","FAIL_PARTIAL_CORRELATION","partial Spearman returned non-finite value","9","NOT_REACHED","","","175_TO_134_EXCLUDED"
"UGC06446","ATTEMPTED","COMPLETED","","","17","VALID","","17.0","SPECTRAL_VALID_76"
"UGC06614","ATTEMPTED","COMPLETED","","","13","EXCLUDED","fewer than 16 radial points after reconstruction","13.0","134_TO_76_EXCLUDED"
"UGC06628","ATTEMPTED","EXCLUDED","FAIL_RECONSTRUCTION","insufficient valid radii before reconstruction","7","NOT_REACHED","","","175_TO_134_EXCLUDED"
"UGC06667","ATTEMPTED","COMPLETED","","","9","EXCLUDED","fewer than 16 radial points after reconstruction","9.0","134_TO_76_EXCLUDED"
"UGC06786","ATTEMPTED","COMPLETED","","","45","VALID","","45.0","SPECTRAL_VALID_76"
"UGC06787","ATTEMPTED","COMPLETED","","","71","VALID","","71.0","SPECTRAL_VALID_76"
"UGC06818","ATTEMPTED","COMPLETED","","","8","EXCLUDED","fewer than 16 radial points after reconstruction","8.0","134_TO_76_EXCLUDED"
"UGC06917","ATTEMPTED","COMPLETED","","","11","EXCLUDED","fewer than 16 radial points after reconstruction","11.0","134_TO_76_EXCLUDED"
"UGC06923","ATTEMPTED","EXCLUDED","FAIL_RECONSTRUCTION","insufficient valid radii before reconstruction","6","NOT_REACHED","","","175_TO_134_EXCLUDED"
"UGC06930","ATTEMPTED","COMPLETED","","","10","EXCLUDED","fewer than 16 radial points after reconstruction","10.0","134_TO_76_EXCLUDED"
"UGC06973","ATTEMPTED","COMPLETED","","","9","EXCLUDED","fewer than 16 radial points after reconstruction","9.0","134_TO_76_EXCLUDED"
"UGC06983","ATTEMPTED","COMPLETED","","","17","VALID","","17.0","SPECTRAL_VALID_76"
"UGC07089","ATTEMPTED","COMPLETED","","","12","EXCLUDED","fewer than 16 radial points after reconstruction","12.0","134_TO_76_EXCLUDED"
"UGC07125","ATTEMPTED","COMPLETED","","","13","EXCLUDED","fewer than 16 radial points after reconstruction","13.0","134_TO_76_EXCLUDED"
"UGC07151","ATTEMPTED","COMPLETED","","","11","EXCLUDED","fewer than 16 radial points after reconstruction","11.0","134_TO_76_EXCLUDED"
"UGC07232","ATTEMPTED","EXCLUDED","FAIL_RECONSTRUCTION","insufficient valid radii before reconstruction","4","NOT_REACHED","","","175_TO_134_EXCLUDED"
"UGC07261","ATTEMPTED","EXCLUDED","FAIL_RECONSTRUCTION","insufficient valid radii before reconstruction","7","NOT_REACHED","","","175_TO_134_EXCLUDED"
"UGC07323","ATTEMPTED","COMPLETED","","","10","EXCLUDED","fewer than 16 radial points after reconstruction","10.0","134_TO_76_EXCLUDED"
"UGC07399","ATTEMPTED","COMPLETED","","","10","EXCLUDED","fewer than 16 radial points after reconstruction","10.0","134_TO_76_EXCLUDED"
"UGC07524","ATTEMPTED","COMPLETED","","","31","VALID","","31.0","SPECTRAL_VALID_76"
"UGC07559","ATTEMPTED","EXCLUDED","FAIL_RECONSTRUCTION","insufficient valid radii before reconstruction","7","NOT_REACHED","","","175_TO_134_EXCLUDED"
"UGC07577","ATTEMPTED","COMPLETED","","","9","EXCLUDED","fewer than 16 radial points after reconstruction","9.0","134_TO_76_EXCLUDED"
"UGC07603","ATTEMPTED","EXCLUDED","FAIL_PARTIAL_CORRELATION","partial Spearman returned non-finite value","12","NOT_REACHED","","","175_TO_134_EXCLUDED"
"UGC07608","ATTEMPTED","COMPLETED","","","8","EXCLUDED","fewer than 16 radial points after reconstruction","8.0","134_TO_76_EXCLUDED"
"UGC07690","ATTEMPTED","EXCLUDED","FAIL_RECONSTRUCTION","insufficient valid radii before reconstruction","7","NOT_REACHED","","","175_TO_134_EXCLUDED"
"UGC07866","ATTEMPTED","EXCLUDED","FAIL_RECONSTRUCTION","insufficient valid radii before reconstruction","7","NOT_REACHED","","","175_TO_134_EXCLUDED"
"UGC08286","ATTEMPTED","COMPLETED","","","17","VALID","","17.0","SPECTRAL_VALID_76"
"UGC08490","ATTEMPTED","COMPLETED","","","30","VALID","","30.0","SPECTRAL_VALID_76"
"UGC08550","ATTEMPTED","EXCLUDED","FAIL_PARTIAL_CORRELATION","partial Spearman returned non-finite value","11","NOT_REACHED","","","175_TO_134_EXCLUDED"
"UGC08699","ATTEMPTED","COMPLETED","","","41","VALID","","41.0","SPECTRAL_VALID_76"
"UGC08837","ATTEMPTED","EXCLUDED","FAIL_PARTIAL_CORRELATION","partial Spearman returned non-finite value","8","NOT_REACHED","","","175_TO_134_EXCLUDED"
"UGC09037","ATTEMPTED","COMPLETED","","","22","VALID","","22.0","SPECTRAL_VALID_76"
"UGC09133","ATTEMPTED","COMPLETED","","","68","VALID","","68.0","SPECTRAL_VALID_76"
"UGC09992","ATTEMPTED","EXCLUDED","FAIL_RECONSTRUCTION","insufficient valid radii before reconstruction","5","NOT_REACHED","","","175_TO_134_EXCLUDED"
"UGC10310","ATTEMPTED","EXCLUDED","FAIL_RECONSTRUCTION","insufficient valid radii before reconstruction","7","NOT_REACHED","","","175_TO_134_EXCLUDED"
"UGC11455","ATTEMPTED","COMPLETED","","","36","VALID","","36.0","SPECTRAL_VALID_76"
"UGC11557","ATTEMPTED","COMPLETED","","","12","EXCLUDED","fewer than 16 radial points after reconstruction","12.0","134_TO_76_EXCLUDED"
"UGC11820","ATTEMPTED","COMPLETED","","","10","EXCLUDED","fewer than 16 radial points after reconstruction","10.0","134_TO_76_EXCLUDED"
"UGC11914","ATTEMPTED","COMPLETED","","","65","VALID","","65.0","SPECTRAL_VALID_76"
"UGC12506","ATTEMPTED","COMPLETED","","","31","VALID","","31.0","SPECTRAL_VALID_76"
"UGC12632","ATTEMPTED","COMPLETED","","","15","EXCLUDED","fewer than 16 radial points after reconstruction","15.0","134_TO_76_EXCLUDED"
"UGC12732","ATTEMPTED","COMPLETED","","","16","VALID","","16.0","SPECTRAL_VALID_76"
"UGCA281","ATTEMPTED","EXCLUDED","FAIL_RECONSTRUCTION","insufficient valid radii before reconstruction","7","NOT_REACHED","","","175_TO_134_EXCLUDED"
"UGCA442","ATTEMPTED","COMPLETED","","","8","EXCLUDED","fewer than 16 radial points after reconstruction","8.0","134_TO_76_EXCLUDED"
"UGCA444","ATTEMPTED","COMPLETED","","","36","VALID","","36.0","SPECTRAL_VALID_76"
